0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:12:31 +0900] "GET /JavaWebPrj/ch04/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:12:33 +0900] "GET /JavaWebPrj/ch04/images/nav4_over.jpg HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:12:33 +0900] "GET /JavaWebPrj/ch04/images/nav3_over.jpg HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:12:34 +0900] "GET /JavaWebPrj/ch04/images/nav2_over.jpg HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:12:35 +0900] "GET /JavaWebPrj/ch04/images/nav1_over.jpg HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:23:00 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5274
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:23:00 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:23:00 +0900] "GET /JavaWebPrj/ch04/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:23:00 +0900] "GET /JavaWebPrj/ch04/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:42:33 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5307
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:42:33 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:42:33 +0900] "GET /JavaWebPrj/ch04/js/main.js HTTP/1.1" 304 -
